,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,786207156,Iphone X - Perfect condition and complete/ 64gb,430.0,Used (normal wear),"Perfect condition Iphone X 64gb at&t complete with box and accessories..  no cracks whatsoever, its been in a high quality  protective case from day 1 and always with a screen protector .selling since i upgraded to 11pro",5,Local pickup (15 miles away),No shipping INFO!,15.0,,,"San Diego, CA",San Diego, CA,1 hour 
1,611680230,XBOX ONE 1 X w/ ELITE controller,500.0,Used (normal wear),Looking to trade for VERIZON iPhone X***WILL NOT DROP IN PRICE - FIRM OFFER******CHECK MY OTHER LISTINGS!***This is a great deal. I’m selling my Xbox one X (the most powerful Xbox available) and the XBOX Elite controller (the best controller available) both in like new condition I am willing to trade for the larger series 4 Apple Watch or an iPhone X Needs to go!,3,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,10 months 
2,786055342,iPhone X,330.0,Used (normal wear),I have for sale iPhone X 64 gb everything works good except for the camera sometime works sometimes doesn’t both cameras  Unlocked for any company $330T-Mobile AttVerizonMetro pcs Sprint Mexico etc ,2,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Marcos, CA",San Marcos, CA,6 hours 
3,786048956,iPhone X 256gb Silver,560.0,Used (normal wear),Great condition IPHONE X 256gb UNLOCKED.   Certified apple refurbished. I used it for about 2 months before I upgraded to the iPhone 11. Comes with brand new cable and earpods.,4,Local pickup (23 miles away),No shipping INFO!,23.0,,,"Vista, CA",Vista, CA,7 hours 
4,786012003,iPhone X 256gb unlocked,550.0,Used (normal wear),Perfect conditionUnlocked256gb memory,2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"Santee, CA",Santee, CA,8 hours 
5,786192413,iPhone X 256 GB,500.0,Reconditioned/Certified,iPhone 256 GB At&T ,2,No delivery INFO!,"Ships from Groveland, MA for $3.29",,"Groveland, MA",3.29,"Groveland, MA",Groveland, MA,1 hour 
6,785548085,iPhone X 256GB UNLOCKED,525.0,Reconditioned/Certified,This phone is in excellent shape and good condition. It’s unlocked for any carrier.  We are a store in Linda Vista close to the University of San Diego. We specialize in high quality electronics. Feel free to make an offer. ,4,Local pickup (7 miles away),No shipping INFO!,7.0,,,"San Diego, CA",San Diego, CA,1 day 
7,785317887,iPhone X 64GB,500.0,New (never used),iPhone X Verizon 64GB any carrierUnlocked/ No iCloud/ comes with boxOnly minor chip on bottom phone is in great condition Clean ESM$500,5,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,1 day 
8,785215968,iPhone X 64GB,800.0,New (never used),New in box Apple iPhone X 64 GB Has screen protector on it No scratch’s or cracks Unlocked through sprint ,5,Local pickup (9 miles away),No shipping INFO!,9.0,,,"San Diego, CA",San Diego, CA,1 day 
9,786162350,iPhone x,450.0,Used (normal wear),In good condition but it is iCloud locked ,2,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Chula Vista, CA",Chula Vista, CA,3 hours 
10,786120339,iPhone X 64 GB For Cricket,480.0,Used (normal wear),No low ballers! The phone is still under warranty until 4/2020. ,6,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Spring Valley, CA",Spring Valley, CA,5 hours 
11,786081533,iPhone X,300.0,Used (normal wear),Back glass broken as pictured. Can’t see it when case is on. Doesn’t effect phone. Absolutely no scratches on the front screen. Works 100 percent just upgraded its unlocked and was on at&t network ,5,Local pickup (6 miles away),No shipping INFO!,6.0,,,"San Diego, CA",San Diego, CA,6 hours 
12,786191220,iPhone X,300.0,Used (normal wear),Msg for details ,2,No delivery INFO!,"Ships from El Paso, TX for $7.49",,"El Paso, TX",7.49,"El Paso, TX",El Paso, TX,2 hours 
13,754605601,iPhone X 64gb space grey UNLOCKED,600.0,Reconditioned/Certified,"Not locked , will be formatted ready for use , UNLOCKED , front and back cameras are a bit scratched but other than that everything works for me. 64gb space grey UNLOCKED CARRIER",5,Local pickup (9 miles away),No shipping INFO!,9.0,,,"San Diego, CA",San Diego, CA,1 month 
14,785865555,iPhone X 256gb factory unlocked works with Verizon at&t T-Mobile sprint mpcs and Mexico in excellent condition $550price is firm pick up only no Pay,550.0,Open box (never used),iPhone X 256gb factory unlocked works with Verizon at&t T-Mobile sprint mpcs and Mexico in excellent condition $550price is firm pick up only no PayPal ,1,Local pickup (16 miles away),No shipping INFO!,16.0,,,"El Cajon, CA",El Cajon, CA,11 hours 
15,785636934,iphone x,500.0,Used (normal wear),unlocked for any carrier!!64 gb,3,Local pickup (26 miles away),No shipping INFO!,26.0,,,"San Diego, CA",San Diego, CA,22 hours 
16,785509210,iPhone X,575.0,Open box (never used),"Works good, no cracks, iPhone X / iPhone 10 256gb for T-Mobile ",5,Local pickup (23 miles away),No shipping INFO!,23.0,,,"San Diego, CA",San Diego, CA,1 day 
17,785454959,Unlocked iPhone X - 256G - $500,500.0,Used (normal wear),"Unlocked iPhone X , with original box 256G",1,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,1 day 
18,785302718,IPhone X LOCKED,250.0,Used (normal wear),I cloud locked ,2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,1 day 
19,785062354,iPhone X 256 GB T-Mobile,650.0,Used (normal wear),No issues at all still looks new no scratches or dents comes with everything in the pictures ,11,Local pickup (20 miles away),No shipping INFO!,20.0,,,"El Cajon, CA",El Cajon, CA,2 days 
20,779825017,iPhone X 256gb unlocked,600.0,Used (normal wear),"Excellent condition iPhone X - 256gb space grey Unlocked- I had AT&T but works with any Included: charger, headphones, case, wireless charging dock. Reason for selling, switched carriers and got a  deal on a new one. ",4,Local pickup (43 miles away),No shipping INFO!,43.0,,,"Temecula, CA",Temecula, CA,1 week 
21,786139514,iPhone X 64 gb white,400.0,Used (normal wear),In great working conditionWith glass screen protector unlocked ,2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,4 hours 
22,786081864,iPhone X (with AT&T),430.0,Used (normal wear),"** iPhone X - 64GB carrier is AT&T **-No cracked screen ( it is the screen protector)-Tiny crack on back camera -Phone is in mint condition, works perfectly fine-turns off and on, no problems ",4,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Chula Vista, CA",Chula Vista, CA,6 hours 
23,786075619,iPhone X factory unlock 256 GB,475.0,Open box (never used),Excellent condition factory unlock can be used any sim and and country. Starting $475. I am available Sunday morning.,6,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,6 hours 
25,786039443,iPhone X,450.0,Used (normal wear),For sprint but can be unlocked $450 OBO ,4,Local pickup (16 miles away),No shipping INFO!,16.0,,,"San Diego, CA",San Diego, CA,7 hours 
26,786002996,"Brand New, Never Used, Factory Unlocked iPhone X 256gb!!!",549.0,Open box (never used),For sale is a brand new condition iPhone X. 256gb in space grey.  The phone was purchased directly from the Apple Store factory unlocked and works with any carrier!!! It’s been in a case and screen protector it’s entire life and is immaculate.  Thanks!!!,4,Local pickup (3 miles away),No shipping INFO!,3.0,,,"San Diego, CA",San Diego, CA,8 hours 
27,785863282,iPhone X ATT 256gb,490.0,Used (normal wear),iPhone X 256GB ATT only. Minor scratches. Everything works fine.  Best offer takes it,3,Local pickup (15 miles away),No shipping INFO!,15.0,,,"El Cajon, CA",El Cajon, CA,11 hours 
28,785812652,iPhone X 64gb,400.0,New (never used),Has Minor Cracks On Screen But Works Perfectly Icloud Unlocked and Carrier Unlocked 64GB,2,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,12 hours 
29,785572339,iPhone X 256gb Verizon (unlocked),500.0,Used (normal wear),"Selling my used iPhone X 256gb verizon phone. The phone is paid off and unlocked to be used on any carrier. The phone is in excellent condition, as it waa always on case with screen protector on.  Asking for $500 , cash only! ",2,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Oceanside, CA",Oceanside, CA,1 day 
30,785406043,iPhone X 64 GBS space gray,500.0,Used (normal wear),No cracks great condition ,3,Local pickup (22 miles away),No shipping INFO!,22.0,,,"San Diego, CA",San Diego, CA,1 day 
