,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,latitude,longitude
0,iPhone X 256 GB UNLOCKED,$525,2019-11-22 20:03,Yes,"['condition: like new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone X']",post id: 7025454464,True,32.763500,-117.202800
1,AT&T iPhone X,$300,2019-11-22 19:02,Yes,['mobile OS: apple iOS'],post id: 7021001869,False,33.196800,-117.283100
2,iPhone X 256gb unlocked. Small chip on corner,$500,2019-11-22 18:09,Yes,"['make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: X']",post id: 7025440500,False,32.753891,-117.249279
3,iPhone X 64gb,$475,2019-11-22 17:14,Yes,['mobile OS: apple iOS'],post id: 7025415664,False,32.960685,-117.256222
4,LIFEPROOF FRE IPHONE X CASE BRAND NEW!!,$60,2019-11-22 15:30,Yes,"['condition: new', 'mobile OS: apple iOS']",post id: 7023537820,False,33.053500,-117.268900
5,iPhone X - Sprint,$375,2019-11-22 13:25,Yes,"['make / manufacturer: Apple', 'model name / number: iPhone X']",post id: 7025272880,False,33.110100,-117.070000
6,Unlocked iPhone X 64GB Silver,$500,2019-11-22 13:13,Yes,['mobile OS: apple iOS'],post id: 7017903552,False,32.873062,-117.204341
7,"X-buy Iphone 11 MAX,PLUS wants@ MACBO_OK*& XS 512GB MA@X.<:",$0,2019-11-22 12:54,Yes,"['condition: good', 'mobile OS: apple iOS']",post id: 7025177821,False,32.792800,-116.966500
8,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-22 12:29,Yes,['mobile OS: apple iOS'],post id: 7022029118,False,32.778300,-117.133500
9,New iPhone X 256 GB,$600,2019-11-22 12:05,Yes,"['condition: new', 'make / manufacturer: Apple iPhone', 'model name / number: X']",post id: 7025210512,False,32.718500,-117.159300
10,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-22 12:02,Yes,['mobile OS: apple iOS'],post id: 7022029098,False,32.778300,-117.133500
11,FIRM PRICE! NO Offers. Brand New Premium Case for iPhone X or XS,$15,2019-11-22 11:18,Yes,"['condition: new', 'mobile OS: apple iOS']",post id: 7020795575,False,32.745400,-117.127200
12,iPhone X 64GB AT&T,$400,2019-11-22 10:47,Yes,"['condition: excellent', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone X']",post id: 7025146552,False,33.160500,-117.097800
13,"Buy@昼We--M@@ackbo-ok As=@=X,8~iPhone(離BU",$0,2019-11-22 09:26,Yes,['mobile OS: apple iOS'],post id: 7010815052,False,32.705900,-117.052400
14,X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,$0,2019-11-22 09:15,Yes,['mobile OS: apple iOS'],post id: 7022704626,False,32.727200,-117.226800
15,"Buy@昼We--M@@ackbo-ok As=@=X,8~iPhone(離BU",$0,2019-11-22 09:08,Yes,['mobile OS: apple iOS'],post id: 7010814936,False,32.705900,-117.052400
16,X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,$0,2019-11-22 09:07,Yes,['mobile OS: apple iOS'],post id: 7022704595,False,32.727200,-117.226800
17,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-22 08:54,Yes,['mobile OS: apple iOS'],post id: 7022690833,False,32.727200,-117.226800
18,iPhone X 64gb Space Gray,$450,2019-11-22 08:48,Yes,['mobile OS: apple iOS'],post id: 7022848766,True,32.667100,-117.022100
19,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-22 08:45,Yes,['mobile OS: apple iOS'],post id: 7022690948,False,32.727200,-117.226800
20,FIRM PRICE! NO Offers. NEW Case for iPhone X or XS,$15,2019-11-22 08:43,Yes,"['condition: new', 'mobile OS: apple iOS']",post id: 7011404455,False,32.745400,-117.127200
21,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,$0,2019-11-22 08:33,Yes,['mobile OS: apple iOS'],post id: 7022690904,False,32.727200,-117.226800
22,v X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,$0,2019-11-22 07:26,Yes,['mobile OS: apple iOS'],post id: 7021249825,False,32.727200,-117.226800
23,v X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,$0,2019-11-22 07:26,Yes,['mobile OS: apple iOS'],post id: 7021249757,False,32.727200,-117.226800
24,iPhone **X 64GB (Mint **!!~**Condition ) original*==>>200 accessories,$0,2019-11-22 06:48,Yes,['mobile OS: apple iOS'],post id: 7024896818,False,32.797200,-117.170800
25,iPhone X 64gb UNLOCKED One month old,$520,2019-11-22 06:35,Yes,"['condition: like new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone X']",post id: 7021537529,True,33.075596,-117.059841
26,GREAT**!!~** Condition'/ iPhone X 64gb **!!~**'/ Phone works 100,$220,2019-11-22 06:15,Yes,['mobile OS: apple iOS'],post id: 7024897242,False,32.797200,-117.170800
27,iPhone X Silver 256GB Unlocked all original parts and fully functional,$407,2019-11-22 06:03,Yes,"['condition: like new', 'mobile OS: apple iOS']",post id: 7024896997,True,32.575300,-117.070700
28,iPhone X 256 GB T-Mobile,$650,2019-11-21 19:36,Yes,"['condition: excellent', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone']",post id: 7024806415,False,32.817800,-116.922300
29,Iphone X 256 Verizon unlocked,$525,2019-11-21 18:12,No,"['condition: excellent', 'mobile OS: apple iOS']",post id: 7024776401,False,33.006700,-117.069000
30,iPhone X 256GB,$525,2019-11-21 17:40,Yes,['mobile OS: apple iOS'],post id: 7018137257,True,32.746600,-117.163600
31,IPhone X Case Game Console Play Gameboy Tetris,$10,2019-11-21 17:20,Yes,"['condition: new', 'mobile OS: apple iOS']",post id: 7019410343,False,33.006700,-117.069000
32,CALL NOW~!@ BUY IPHONE 7plus 8plus X XS max !~,$0,2019-11-21 14:43,Yes,['mobile OS: apple iOS'],post id: 7023223708,False,32.778300,-117.133500
33,CALL NOW~!@ BUY IPHONE 7plus 8plus X XS max !~,$0,2019-11-21 14:43,Yes,['mobile OS: apple iOS'],post id: 7023223812,False,32.778300,-117.133500
34,Slighlty cracked Glass Protector / negotiable,$0,2019-11-21 14:20,Yes,"['make / manufacturer: repair phone iphone', 'mobile OS: apple iOS', 'model name / number: 6 6s 7 8 plus X Xs Max screen']",post id: 7010978573,False,33.089500,-117.112800
35,CALL NOW~!@ BUY IPHONE 7plus 8plus X XS max !~,$0,2019-11-21 14:10,Yes,"['cryptocurrency ok', 'mobile OS: apple iOS']",post id: 7021851571,False,32.778300,-117.133500
36,Ready !!SELL?? iPhone X/8+ %%,$0,2019-11-21 14:07,Yes,"['condition: like new', 'mobile OS: apple iOS']",post id: 7022970434,False,32.746600,-117.163600
37,CALL NOW~!@ BUY IPHONE 7plus 8plus X XS max !~,$0,2019-11-21 13:41,Yes,['mobile OS: apple iOS'],post id: 7021851485,False,32.778300,-117.133500
38,Iphone X 64gb - Excellent condition at&t,$480,2019-11-21 13:42,Yes,"['condition: like new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: X']",post id: 7022864385,False,32.705900,-117.052400
