,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,787185403,"Galaxy A20, metro pcs only, brand new, nuevo accesorios originales",159.0,New (never used),"Samsung Galaxy A20 metro pcsCase and tempered glass screen protector includedTodo nuevo accesorios originalesIncluye case y vidrio templado$159Ignore s7, s8,s9,S10,pixel,I phone,A20, LG, Motorola, Android, j7, Coolpad",5,Local pickup (14 miles away),Ships for $10.99,14.0,,10.99,"San Diego, CA",San Diego, CA,5 hours 
1,787058921,SAMSUNG Galaxy s8+ Verizon unlocked,100.0,Used (normal wear),"Samsung Galaxy s8 plus, verizon unlocked, cracked screen, cracked back, just needs a new screen and it works, dont know how many gigs it has could be 64, or 168 and you can add expandable memory (micro sd) ",7,Local pickup (8 miles away),No shipping INFO!,8.0,,,"San Diego, CA",San Diego, CA,8 hours 
2,786551295,Samsung Galaxy S8 Active 64GB No issues • Unlocked for any carrier • Charger • Warranty • Hablo español,229.99,Used (normal wear),"• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",6,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,1 day 
3,786509113,Samsung Galaxy S8 plus,300.0,Used (normal wear),In near perfect condition GS8+ 64GbComes with original box and accessoriesTmobile version,3,Local pickup (15 miles away),No shipping INFO!,15.0,,,"El Cajon, CA",El Cajon, CA,1 day 
4,786030491,Samsung Galaxy S8,100.0,Used (normal wear),Samsung Galaxy S8 64GBScreen Cracked Unlocked ,6,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Chula Vista, CA",Chula Vista, CA,2 days 
5,785489897,SAMSUNG GALAXY S8,300.0,Used (normal wear),Galaxy S8 in like new condition.  Perfect screen with liquid protection.   Verizon unlocked.  Includes Mophie battery Juice Pack protective cover.  ,1,Local pickup (15 miles away),No shipping INFO!,15.0,,,"El Cajon, CA",El Cajon, CA,2 days 
6,785319296,Samsung Galaxy S8 - Unlocked,350.0,Used (normal wear),Good condition. Comes with box and new charger. ,1,Local pickup (6 miles away),No shipping INFO!,6.0,,,"San Diego, CA",San Diego, CA,3 days 
7,784567658,Samsung Galaxy S8 plus unlocked,275.0,Used (normal wear),Clean imeiPhone onlyScreen had cracks and there is screen burn,2,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,5 days 
8,782945265,"SAMSUNG GALAXY S8 plus,dark blue",310.0,Used (normal wear),For sale barely used Samsung galaxy s8 plus. Dark blue for AT& T. Excellent condition. 64 gb.,2,Local pickup (4 miles away),No shipping INFO!,4.0,,,"San Diego, CA",San Diego, CA,1 week 
9,782463895,Samsung Galaxy S8 Active 64Gb Factory Unlocked,240.0,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our phones.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House Charger Buy with confidence ",4,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Chula Vista, CA",Chula Vista, CA,1 week 
10,787155578,Samsung Galaxy S8+ Plus Any carrier,270.0,Used (normal wear),Samsung Galaxy S8 plus64GBAny carrierTrusted sellerGreat condition,6,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,6 hours 
12,786454501,Samsung Galaxy S8+ Jet Black,150.0,Used (normal wear),32GB T MobilePhone is in great condition only minor cracks as seen in the picturesunlocked,3,Local pickup (26 miles away),No shipping INFO!,26.0,,,"San Diego, CA",San Diego, CA,1 day 
13,786126801,Samsung galaxy s8 carrier unlocked (native t-mobile),200.0,Used (normal wear),"No cracks.  Some minor surface scratches on the screen but nothing you notice while the screen is on, you can scroll through the pics to see. This is a native T mobile phone  but it has been unlocked by the carrier. Spigen clear case and charger included.",6,Local pickup (35 miles away),No shipping INFO!,35.0,,,"Fallbrook, CA",Fallbrook, CA,2 days 
14,785347968,Samsung Galaxy s8 Active,250.0,Open box (never used),"Factory Reset Galaxy s8 ActiveT MobileComes with: Screen Protector, Case, Phone Charger",6,Local pickup (24 miles away),No shipping INFO!,24.0,,,"Chula Vista, CA",Chula Vista, CA,3 days 
15,784413488,SAMSUNG GALAXY S8+ PLUS T-Mobile Metro pcs,320.0,Used (normal wear),SAMSUNG GALAXY S8+ PLUS T-Mobile Metro pcs,4,Local pickup (2 miles away),No shipping INFO!,2.0,,,"San Diego, CA",San Diego, CA,5 days 
16,784150992,Samsung Galaxy s8,350.0,Used (normal wear),Selling my s8 for $350 lowest would be $300 if picked up today. It has some cracks on the back and the front. Easy fix up for $30-$50 dollars. Taking $350 obo,1,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,5 days 
17,783956369,Samsung Galaxy S9 plus Any carrier,370.0,Used (normal wear),Samsung Galaxy S8 plus64GBAny carrierGreat conditionTrusted Seller,9,Local pickup (21 miles away),No shipping INFO!,21.0,,,"San Diego, CA",San Diego, CA,6 days 
18,783348030,"Samsung Galaxy A20,metro pcs, brand new, nuevo en la caja",139.0,New (never used),"Samsung Galaxy a20 Brand new Nuevo Metro pcs $139Ignore s7, s8,s9,S10,pixel,I phone,A20, LG, Motorola, Android, j7, Coolpad",6,Local pickup (14 miles away),Ships for $10.99,14.0,,10.99,"San Diego, CA",San Diego, CA,1 week 
