,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,latitude,longitude
0,Like New iPhone X 256GB AppleCare+ (Unlocked),$650,2019-11-19 20:05,Yes,"['condition: like new', 'cryptocurrency ok', 'make / manufacturer: Apple', 'mobile OS: apple iOS']",post id: 7003945173,False,32.795668,-117.243176
1,Iphone x webuy cash offer,$600,2019-11-19 17:51,No,['mobile OS: apple iOS'],post id: 7004349382,True,32.760700,-117.072100
2,iPhone X 256GB,$525,2019-11-19 16:22,Yes,['mobile OS: apple iOS'],post id: 7018137257,True,32.746600,-117.163600
3,X/XS?XS MAX/8/8+/7/7+/6s/6s TOP IPHONE BUYER,$0,2019-11-19 15:17,Yes,['mobile OS: apple iOS'],post id: 7021783086,False,32.778300,-117.133500
4,X/XS?XS MAX/8/8+/7/7+/6s/6s TOP IPHONE BUYER,$0,2019-11-19 15:17,Yes,['mobile OS: apple iOS'],post id: 7021783242,False,32.778300,-117.133500
5,X/XS?XS MAX/8/8+/7/7+/6s/6s TOP IPHONE BUYER,$0,2019-11-19 15:05,Yes,['mobile OS: apple iOS'],post id: 7021783291,False,32.778300,-117.133500
6,Apple iPhone X 256 gb Unlocked black,$575,2019-11-19 14:58,No,"['condition: like new', 'make / manufacturer: APPLE', 'mobile OS: apple iOS', 'model name / number: iphone x']",post id: 7023370309,True,32.916100,-117.140200
7,In perfect condition////Unlocked silver 256gb iPhone X%%%%Single owner,$400,2019-11-19 14:40,Yes,"['condition: excellent', 'mobile OS: apple iOS']",post id: 7023296526,True,32.718500,-117.159300
8,BUYRER%% Wan;Ted Phone iPHONE -X-8 Sealed iN BoX.,$0,2019-11-19 13:53,Yes,['mobile OS: apple iOS'],post id: 7014643883,False,32.762400,-117.124200
9,Cellphone battery pack for iPhone X or Iphone XS,$30,2019-11-19 13:50,Yes,"['condition: like new', 'make / manufacturer: Apple iphone', 'mobile OS: apple iOS', 'model name / number: IPhone XS']",post id: 7017024626,False,33.110100,-117.070000
10,Slighlty cracked Glass Protector / negotiable,$0,2019-11-19 13:09,Yes,"['make / manufacturer: repair phone iphone', 'mobile OS: apple iOS', 'model name / number: 6 6s 7 8 plus X Xs Max screen']",post id: 7010978573,False,33.089500,-117.112800
