,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,785038924,iPhone X ten unlocked,600,New (never used),iPhone X unlocked Ready to go. Feel free to ask any questions. Not interested in any trades!,1,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Imperial Beach, CA",Imperial Beach, CA,42 minutes 
1,784435092,Apple iphone x 64gb silver,380,Open box (never used),Open box No trades No black list Unlocked carrier All accessories are included No dents or scratches Ready to use ,4,No delivery INFO!,"Ships from New York, NY for $7.49",,"New York, NY",7.49,"New York, NY",New York, NY,2 hours 
2,726017698,iPhone x black with life proof case headphones,650,Open box (never used),In prefix condition ready for you to set up.,3,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Lakeside, CA",Lakeside, CA,3 months 
3,784920684,IPhone X,350,Used (normal wear),Works for ATT onlyFully functionalJust put your chip in and it’ll workMinor scuffs ,3,Local pickup (31 miles away),Ships for $3.29,31.0,,3.29,"Bonsall, CA",Bonsall, CA,4 hours 
4,784896828,iPhone X unlocked!,525,Used (normal wear),64 GB Has minor scratches it doesn't have any cracks comes with charger and lighting adapter ,2,Local pickup (15 miles away),No shipping INFO!,15.0,,,"San Diego, CA",San Diego, CA,5 hours 
5,784875309,iPhone X 64GB Unlocked Amazing Condition!,470,Used (normal wear),"-iPhone X 64GB -Space Gray-Perfect condition(It’s been used with a case since day one so it looks amazing.)-Unlocked by the time of purchase (just need to notify my phone company) -Originally from sprint, when unlocked can be used at any carrier )",5,Local pickup (26 miles away),No shipping INFO!,26.0,,,"Chula Vista, CA",Chula Vista, CA,5 hours 
6,784842573,iPhone X T-Mobile Unlocked 64gb,550,Used (normal wear),"Unlocked, works with any carrier. Desbloqueado, trabaja con cualquier compañia.",6,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Chula Vista, CA",Chula Vista, CA,6 hours 
7,784698182,iPhone X iCloud locked,200,For Parts,iPhone X ICloud locked clean imeiPhone is only for parts.354874091684068iCloud status clean!,2,Local pickup (14 miles away),No shipping INFO!,14.0,,,"San Diego, CA",San Diego, CA,10 hours 
8,784588799,iPhone X black,Sold!,Used (normal wear),Brand new no scratches New screen protector with lifetime warranty ,1,Local pickup (36 miles away),No shipping INFO!,36.0,,,"Fallbrook, CA",Fallbrook, CA,21 hours 
9,784572017,iPhone X,450,Used (normal wear),iPhone X 64gb sprintIn great condition 2 small scratches that don’t effect the screen in anyway,3,Local pickup (14 miles away),No shipping INFO!,14.0,,,"Encinitas, CA",Encinitas, CA,22 hours 
10,784558529,IPhone X,500,Used (normal wear),"I have my barely used IPhone X, I  upgraded phone and now I want to sell it. The phone is unlocked , and ready for use. Asking for $500 dllrs OBO.",2,Local pickup (19 miles away),No shipping INFO!,19.0,,,"Chula Vista, CA",Chula Vista, CA,23 hours 
11,784426644,Iphone x,Sold!,Used (normal wear),T mobile only face id is not working for some reason.,3,Local pickup (19 miles away),No shipping INFO!,19.0,,,"El Cajon, CA",El Cajon, CA,1 day 
12,785014622,iPhone X,500,New (never used),Unlocked        ✔️64 gb                 ✔️Like new          ✔️No scratches ✔️,2,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Chula Vista, CA",Chula Vista, CA,1 hour 
