,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,785636934,iphone x,500,Used (normal wear),unlocked for any carrier!!64 gb,3,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,1 hour 
1,785593763,(Unlocked) - iPhone X 256GB,375,New (never used),UnlockedExcellent ConditionComes with charger and headphonesSerious Inquires,4,Local pickup (98 miles away),Ships for $7.49,98.0,,7.49,"Los Angeles, CA",Los Angeles, CA,4 hours 
2,785509210,iPhone X,575,Open box (never used),"Works good, no cracks, iPhone X / iPhone 10 256gb for T-Mobile ",5,Local pickup (23 miles away),No shipping INFO!,23.0,,,"San Diego, CA",San Diego, CA,7 hours 
3,785302718,IPhone X LOCKED,250,Used (normal wear),I cloud locked ,2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,13 hours 
4,785275484,Iphone x unlocked,520,Used (normal wear),"Full paid off factory unlocked, everything works perfectly.",6,Local pickup (16 miles away),No shipping INFO!,16.0,,,"El Cajon, CA",El Cajon, CA,14 hours 
5,785215968,iPhone X 64GB,800,New (never used),New in box Apple iPhone X 64 GB Has screen protector on it No scratch’s or cracks Unlocked through sprint ,5,Local pickup (9 miles away),No shipping INFO!,9.0,,,"San Diego, CA",San Diego, CA,16 hours 
6,785118430,iPhone X 256GB Unlocked,550,New (never used),Like brand new256GBWorks for all carriers,2,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Spring Valley, CA",Spring Valley, CA,1 day 
7,784972532,iPhone X unlocked all carriers 64gb great condition black color,Sold!,Used (normal wear),$450 cash for a legit phone you know will stay clean and is unlocked imei# in ad. Leave a contact phone number or I will not respond.,4,Local pickup (9 miles away),No shipping INFO!,9.0,,,"San Diego, CA",San Diego, CA,1 day 
8,784842573,iPhone X T-Mobile Unlocked 64gb,550,Used (normal wear),"Unlocked, works with any carrier. Desbloqueado, trabaja con cualquier compañia.",6,Local pickup (23 miles away),No shipping INFO!,23.0,,,"Chula Vista, CA",Chula Vista, CA,1 day 
9,784698182,iPhone X iCloud locked,Sold!,For Parts,iPhone X ICloud locked clean imeiPhone is only for parts.354874091684068iCloud status clean!,2,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,1 day 
10,784572017,iPhone X,450,Used (normal wear),iPhone X 64gb sprintIn great condition 2 small scratches that don’t effect the screen in anyway,3,Local pickup (13 miles away),No shipping INFO!,13.0,,,"Encinitas, CA",Encinitas, CA,2 days 
11,784468854,iPhone X,500,Used (normal wear),Great conditionFor sprint but can be unlocked $500 OBO ,4,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Lakeside, CA",Lakeside, CA,2 days 
12,785604116,LOCKED IPHONE PLUS 8 256GB,450,Used (normal wear),I am selling my  iPhone 8 Plus 256gb  that is with locked and was using with a bypass chip until I accidentally updated it and now have upgraded to iPhone X.it is iCloud UNLOCKED. It is in good condition the only issue is the crack on the back and has a decal sticker to cover the crack.I am asking $450 or obo ,6,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Chula Vista, CA",Chula Vista, CA,3 hours 
13,770134905,iPhone X // 256GB // ATT,490,Used (normal wear),"iPhone X 256GB FOR AttAll original glass, no cracks and no scratches. Comes with case. ",6,Local pickup (28 miles away),No shipping INFO!,28.0,,,"Oceanside, CA",Oceanside, CA,4 weeks 
